Time,Setpoint,ProcessValue,Output,Mode,State,ErrorBits
2019-02-14T10:55:39.900Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:55:45.374Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:55:50.384Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:55:55.389Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:56:00.403Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:56:05.406Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:56:10.412Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:56:15.420Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:56:20.428Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:56:25.433Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:56:30.438Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:56:35.448Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:56:40.456Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:56:45.459Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:56:50.470Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:56:55.475Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:57:00.482Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:57:05.495Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:57:10.499Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:57:15.505Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:57:20.513Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:57:25.524Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:57:30.528Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:57:35.540Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:57:40.540Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:57:45.546Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:57:50.556Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:57:55.563Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:58:00.571Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:58:05.577Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:58:10.586Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:58:15.592Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:58:20.594Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:58:25.603Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:58:30.610Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:58:35.614Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:58:40.624Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:58:45.633Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:58:50.634Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:58:55.643Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:59:00.651Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:59:05.660Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:59:10.665Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:59:15.672Z,35,0.014467592351138592,100,3,3,0
2019-02-14T10:59:20.679Z,35,0.014467592351138592,100,3,3,0
